No;Nama Produk;Jumlah Terjual;Jumlah Ulasan;Rating;Posisi Rekomendasi;Frekuensi Muncul;Jenis Toko
1;Kaos Polos Premium;125;45;4.7;5;3;UMKM
2;Jaket Hoodie Oversize;980;320;4.9;1;5;Toko Besar
3;Sepatu Sneakers Casual;450;150;4.8;3;4;Toko Besar
4;Tas Wanita Fashion;210;80;4.6;6;3;UMKM
5;Headset Bluetooth;760;210;4.7;2;5;Toko Besar
6;Jam Tangan Pria;340;95;4.5;7;2;UMKM
7;Kemeja Flanel Pria;180;60;4.6;8;2;UMKM
8;Lampu LED Strip RGB;890;300;4.8;2;5;Toko Besar
9;Dompet Kulit Pria;130;50;4.4;9;2;UMKM
10;Powerbank 10000mAh;670;220;4.7;3;4;Toko Besar
11;Sandal Wanita Casual;95;30;4.3;10;1;UMKM
12;Mouse Wireless Gaming;540;180;4.8;4;4;Toko Besar
13;Kacamata Fashion;160;55;4.5;7;2;UMKM
14;Tumbler Stainless;400;140;4.6;5;3;Toko Besar
15;Keyboard Mechanical;820;260;4.9;1;5;Toko Besar
16;Baju Anak Setelan;140;48;4.4;9;2;UMKM
17;Tas Ransel Sekolah;300;100;4.6;6;3;Toko Besar
18;Charger Fast Charging;720;230;4.8;2;5;Toko Besar
19;Celana Jeans Pria;200;70;4.5;8;2;UMKM
20;Topi Baseball Casual;110;35;4.3;10;1;UMKM
